ASIN,price,quantity,open_date,item_is_marketplace,featured_offer_buy_box_percentage,Sales Rank: Current,Reviews: Rating,Reviews: Review Count,Buy Box 🚚: Stock,Buy Box: Is FBA,Brand,Prime Eligible (Buy Box),Subscribe and Save,Last Price Change,Buy Box Seller
B07YQ8BPJP,9.49,0,2023-08-11 09:36:58,y,0.0,37179.0,4.4,1600.0,0.0,no,Trolli,no,no,2024/05/31 21:36,0
B0773WCG57,11.89,0,2023-08-11 09:40:41,y,1.97,5041.0,4.4,460.0,47.0,no,Trolli,no,no,2024/06/03 18:18,1
B008BSIXIY,5.99,0,2023-08-21 08:50:29,y,10.86,354.0,3.7,1623.0,239.0,yes,Falim,yes,no,2024/06/01 05:44,1
B01F71FR7W,8.88,0,2023-08-23 09:37:30,y,50.77,5820.0,4.5,51.0,33.0,no,HARIBO,no,no,2024/06/04 06:24,1
B01F71H1ZI,9.49,0,2023-08-23 09:44:21,y,43.42,6288.0,4.2,121.0,42.0,no,HARIBO,no,no,2024/06/04 10:54,1
B00TH0CBWY,21.49,8,2023-08-27 10:40:33,y,0.0,10773.0,3.8,58.0,8.0,no,Frosch,no,yes,2024/06/03 00:28,0
B093YKC22F,3.49,0,2023-09-05 14:09:09,y,99.34,83445.0,4.6,723.0,0.0,no,PoundMax,yes,no,2024/06/03 17:24,0
B09Y3K46SS,3.49,0,2023-09-05 14:23:40,y,100.0,93058.0,4.5,60.0,32.0,yes,PoundMax,yes,no,2024/02/01 17:52,1
B09Y3L2JFS,3.29,0,2023-09-05 14:25:21,y,99.83,10170.0,4.5,177.0,258.0,yes,PoundMax,yes,no,2023/10/09 01:00,1
B093YJTCRD,3.49,0,2023-09-05 14:28:44,y,100.0,4842.0,4.5,364.0,382.0,yes,PoundMax,yes,yes,2024/03/22 17:48,1
B09Y3MFY87,3.49,0,2023-09-05 14:30:44,y,100.0,7256.0,4.4,117.0,482.0,yes,PoundMax,yes,no,2024/01/24 20:38,1
B09Y3PHNRT,3.29,0,2023-09-05 14:33:13,y,4.39,163674.0,4.2,62.0,0.0,no,PoundMax,no,no,2023/10/21 16:30,0
B093YJDKZ7,3.45,0,2023-09-05 14:35:06,y,92.31,59968.0,4.4,144.0,214.0,yes,PoundMax,yes,no,2024/05/20 23:36,1
B09Y3KTPMT,3.29,0,2023-09-05 14:37:23,y,100.0,18979.0,4.6,53.0,116.0,yes,PoundMax,yes,no,2023/10/27 07:32,1
B09Y3PDJV2,3.49,0,2023-09-05 14:39:46,y,100.0,12139.0,4.7,117.0,757.0,yes,PoundMax,yes,no,2024/04/03 00:52,1
B00V0R6HAE,3.49,0,2023-09-05 14:42:19,y,98.04,17436.0,4.5,451.0,405.0,yes,PoundMax,yes,no,2024/05/08 11:36,1
B00V0RCG22,3.45,0,2023-09-05 14:44:12,y,94.29,28916.0,4.5,126.0,199.0,yes,PoundMax,yes,no,2024/04/02 22:40,1
B07V1C8K3J,3.49,0,2023-09-05 14:47:08,y,97.8,42624.0,4.5,2671.0,137.0,yes,PoundMax,yes,no,2024/03/31 12:52,1
B0933G3V4Q,9.95,6,2023-09-08 20:23:38,y,1.27,100599.0,4.4,10.0,6.0,no,Burti,no,no,2024/05/15 14:36,0
B008CCQENA,16.5,42,2023-09-08 20:37:23,y,45.82,13018.0,4.5,115.0,42.0,no,Frosch,no,no,2024/06/04 09:02,1
B075W3P93V,14.49,16,2023-09-08 21:22:38,y,4.64,3914.0,4.7,197.0,15.0,no,Tempo,no,no,2024/06/03 11:28,1
B01EYK9P84,14.95,36,2023-09-08 21:24:18,y,12.08,190861.0,4.6,1001.0,36.0,no,Tempo,no,no,2011/01/01 01:00,1
B01EYK9QDS,14.95,55,2023-09-08 21:27:05,y,4.89,71886.0,4.5,79.0,55.0,no,Tempo,no,no,2011/01/01 01:00,1
B07V5FYSK7,12.32,72,2023-09-10 15:55:07,y,2.03,17321.0,4.3,149.0,72.0,no,Babylove,no,no,2024/05/28 05:40,0
B01FY8HJA6,5.39,0,2023-09-19 15:10:38,y,38.46,14981.0,3.1,25.0,101.0,yes,Falim,yes,no,2024/06/04 05:28,1
B005GR1WO0,5.97,0,2023-09-19 15:14:00,y,40.98,3305.0,4.0,51.0,39.0,yes,Falim,yes,no,2024/06/03 18:12,1
B0195NL6IM,8.95,0,2023-09-19 15:15:41,y,97.54,12719.0,4.2,10.0,10.0,yes,FALIM,yes,yes,2024/03/23 23:32,1
